,level_0,index,frequency
847,847,c2ncc(,15088
848,848,N1CCN(CC,15084
849,849,CC(C)C[C@H](,15078
850,850,COc1cc(OC),15047
851,851,cc1Cl,15045
852,852,C(=O)N[C@@H](CCCNC(=N)N),14984
853,853,)cc1),14952
854,854,[nH]2),14943
855,855,c2nc3ccccc3,14939
856,856,SC),14904
857,857,N1CCC(,14875
858,858,c2n(,14873
859,859,C1CCCCC1,14844
860,860,c1cc(Cl)cc,14836
861,861,c1cccc2cccc,14815
862,862,Cl)cc2),14765
863,863,3C),14728
864,864,[n+]1,14726
865,865,Cc2c(,14725
866,866,-c1cn,14702
867,867,c1ccccc1)c1ccccc1,14673
868,868,4)cc3),14660
869,869,s1)-,14640
870,870,cc2)cc1,14640
871,871,NC(=N),14638
872,872,c2ccc3ccccc3,14588
873,873,c4cn,14541
874,874,c1ccc2nc(,14537
875,875,NC(=O)c1ccc(,14523
876,876,COc1cc,14489
877,877,c1ccncc1,3564
878,878,c2cc(ccc2,14482
879,879,Cn1cn,14459
880,880,C(=O)NCC(=O)N[C@@H](,14410
881,881,.[,14373
882,882,=S),14371
883,883,[C@]12,14368
884,884,[C@H]2O),14357
885,885,Fc1ccc(,14291
886,886,C(CC2),14246
887,887,S(=O)(=O)c1ccc(,14243
888,888,c4ccccc34),14200
889,889,Cc2ccc(O)cc2),14200
890,890,I),14188
891,891,Cl)cc2,14186
892,892,[C@H](Cc1ccccc1),14165
893,893,c(Cl)c1,1818
894,894,-c1ccccc1,3115
895,895,nc12),14149
896,896,o1),14144
897,897,cnc1,14144
898,898,cs1),14110
899,899,[N+]([O-])=O,14107
900,900,O=C(NCC,14089
901,901,c1ccco1,14074
902,902,nc2c1,5684
903,903,C=CC,13986
904,904,cc(OC)c1OC,13957
905,905,/C=C(,13951
906,906,NC(=O)[C@H](CC(N)=O),13915
907,907,n1cc,13914
908,908,C2CCCCC2),13909
909,909,c2cc(O),13874
910,910,N=,13841
911,911,C(=O)N[C@@H](CC(N)=O),13824
912,912,(C2),13746
913,913,CCCCO,13745
914,914,5)cc,13737
915,915,c5ccc(,13732
916,916,c(C)c1,13534
917,917,OCC(=O),13727
918,918,CC(C)(C)O,13725
919,919,Clc1ccc(,13724
920,920,C2)cc1,13707
921,921,.O=C(O)C(F)(F)F,3257
922,922,c3ccc(C),13620
923,923,c(CC,13605
924,924,c2cc1OC,13569
925,925,c2cccc(F),13564
926,926,C2=C(,13534
927,927,c2ccco,13510
928,928,NC(=O)[C@H](CCC(N)=O),13500
929,929,C2(,13467
930,930,c1cccs1,13460
931,931,[C@]2(C),13457
932,932,C(=O)N3CC,13406
933,933,NC1=O,13388
934,934,C/C(,13383
935,935,CC(=O)NCC,13334
936,936,N1CCN(C,13314
937,937,N(CC3),13288
938,938,C1CCCCC1),13228
939,939,C(=O)N[C@@H](Cc1ccc(O)cc1),13171
940,940,[C@H]1CC[C@@H](,13161
941,941,[C@H](N),13160
942,942,[C@]3(C),13131
943,943,%1,13100
944,944,c(=O)n(C),13070
945,945,c3cccc4,13067
946,946,c3ccc(O),13059
947,947,c3n2),13054
948,948,(CC(C,13035
949,949,C(N)=N,4183
950,950,C(=O)N[C@@H](CCC(N)=O),12935
951,951,C=O),12911
952,952,O=S(=O)(,12902
953,953,Cc1ccc(NC(=O),12898
954,954,Cn1c(,12896
955,955,c2cs,12893
956,956,c4ccc(F),12892
957,957,C(=O)N[C@@H](Cc1c[nH]c2ccccc12),12872
958,958,COc1ccc(cc1,12869
959,959,C4),12863
960,960,c2c(N)ncn,12830
961,961,c2C),12817
962,962,[C@@H]1O),12801
963,963,c2c(c1),12769
964,964,C(=O)NS(=O)(=O),12700
965,965,c-2,12665
966,966,c3ncn,12661
967,967,C1CC1),12642
968,968,[C@]1(C),12624
969,969,cn3),12602
970,970,4CC4),12598
971,971,c2c(O),12589
972,972,c2ncc,12580
973,973,-c1cc(,12568
974,974,c1ccnc(,12517
975,975,C2=,12449
976,976,CN(C)CC,12412
977,977,c3ccc(-,12397
978,978,O1),12389
979,979,Oc1cc(,12375
980,980,NC(=O)C,12358
981,981,c2ccccc2)CC1,12311
982,982,3CC3),12291
983,983,c(Br),12262
984,984,c3nc(,12245
985,985,c3cccc(Cl),12236
986,986,C(N,12178
987,987,c(c3),12177
988,988,C(=O)N[C@@H](CCCN=C(N)N),12163
989,989,NC(=O)[C@H](CCCNC(N)=N),12102
990,990,nn2),12090
991,991,c1C),12022
992,992,O=C,12019
993,993,c(Nc3ccc(,12003
994,994,n12,12000
995,995,CCCC1,3399
996,996,CCC(=O)N,11968
997,997,CCN(C,11966
998,998,c3ccccn3),11965
999,999,c2ccc(Br)cc,11958
1000,1000,c1cc2c(,11958
1001,1001,CN1CCN(,11945
1002,1002,c3=O),11932
1003,1003,c1ccc(OC,11876
1004,1004,CCN1,11844
1005,1005,CC(O)=O),11834
1006,1006,NC(=O)[C@H](Cc1ccc(O)cc1),11830
1007,1007,c(OC)c1,11793
1008,1008,c2c1)-,11779
1009,1009,cc(C(F)(F)F),11777
1010,1010,c32),11756
1011,1011,c(n1),11755
1012,1012,n2cn,11748
1013,1013,O[C@@H]2,11748
1014,1014,Nc1cc(,11740
1015,1015,N2CCN(,11715
1016,1016,[C@@H](C)CC),11695
1017,1017,c2ccc(cc12),11686
1018,1018,P(O)(O)=O),11683
1019,1019,C3CC3),11679
1020,1020,c(NC,11677
1021,1021,s3),11674
1022,1022,c3cccnc3),11664
1023,1023,-c2ccc(F)cc2),11662
1024,1024,C(O,11653
1025,1025,CCOc1cc(,11626
1026,1026,c2o,11598
