,level_0,index,frequency
22732,22732,c3ccc4n(C),246
22733,22733,c2csnn2),246
22734,22734,c2ccc3c(cc(nc3c2),246
22735,22735,c2ccc3C(=O)OCc3c2C),246
22736,22736,c2ccc(Cl)c(Cl)c2)c2ccccc12,246
22737,22737,c2c(F)c(Cl)ccc2,246
22738,22738,c2c(c1)-,246
22739,22739,c1cccc2ccccc12)c1cccs1,246
22740,22740,c1ccc(Nc2nn([C@@H](CC#N)C3CC3)c3cc[nH]c(=O),246
22741,22741,c1ccc(F)c(c1)S(C)(=O)=O,246
22742,22742,c(Nc3ccc(OC(F)(F)F)cc3),246
22743,22743,c(=O)c1-,246
22744,22744,[C@](C)(C(=O)O),246
22745,22745,[C@H]2CCC(,246
22746,22746,[C@H](O)[C@@H]2O,246
22747,22747,[C@H](OP(=O)(O)O),246
22748,22748,[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1,246
22749,22749,[C@@H]4C3),246
22750,22750,[C@@H](C)[C@H](,246
22751,22751,SSCCNC(=O),246
22752,22752,SCC(=O)NCC,246
22753,22753,P(=O)(O)O)P(=O)(O)O),246
22754,22754,O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N),246
22755,22755,OC(C)(C)[C@H](,246
22756,22756,O=c1[nH]c2ccccc2n1,246
22757,22757,O=C1NC(=S)N,246
22758,22758,O=C(CCCCC,246
22759,22759,Nc1ccc(S,246
22760,22760,NS(=O)(=O)c1ccc(cc1)-n1cc(,246
22761,22761,NC(C)=O)cc1),246
22762,22762,NC(=O)[C@@H](CCC(=O)O),246
22763,22763,N=C(c2ccccc2F),246
22764,22764,N1Cc2ccccc2C1=O,246
22765,22765,N1CCOCC1)c1ccccc1,246
22766,22766,N(CCCl)CCCl)cc1,246
22767,22767,N(C)CC1)-,246
22768,22768,N[C@H](Cc1ccccc1),246
22769,22769,Cl.Cl.Cl.Cl.,246
22770,22770,Cl.NC(=N),246
22771,22771,Cc1ccc(C)c(N,246
22772,22772,Cc1cc(cn(C)c1=O),246
22773,22773,Cc1cc(C(=O)NCc2ccc(,246
22774,22774,C[C@]12CC[C@H]3[C@@H](CCC4,246
22775,22775,C[C@H](Nc1ncnc2[nH],246
22776,22776,C[C@H](Nc1nccc(n1)-,246
22777,22777,C[C@H](NC1=O),246
22778,22778,C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,246
22779,22779,C[C@@H]2O[C@@]1(C),246
22780,22780,CSc2nnc(o2),246
22781,22781,COc1ccc(OCC(=O),246
22782,22782,CNC(=O)[C@H](Cc1ccc(O)cc1),246
22783,22783,CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,246
22784,22784,CNc1nc(C)c(s1)-,246
22785,22785,CC[C@@]4(C,246
22786,22786,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2),246
22787,22787,CCC1=O),246
22788,22788,CCC12CC,246
22789,22789,CCC(=O)OCC,246
22790,22790,C1=CC[C@@H]3[C@@]4(C),246
22791,22791,C(N)=O)C2=O,246
22792,22792,C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3,246
22793,22793,C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23),246
22794,22794,C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N),246
22795,22795,C(=O)NCC(=O)N(C)c2ccc(Cl)c(CO,246
22796,22796,C(=O)NCCCOCCOCCOCC,246
22797,22797,=C2CC,246
22798,22798,5CCNCC5),246
22799,22799,4(=O)=O),246
22800,22800,3CCCC3=O),246
22801,22801,/C=N/NC(=S)N,246
22802,22802,-n2ccnc2,246
22803,22803,-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc12,246
22804,22804,-c2ccc3cc(cnn23),246
22805,22805,(OS(=O)(=O)C=C3N),246
22806,22806,noc2c1,245
22807,22807,nc2n(C2CCCC2)c1=O,245
22808,22808,n(S(=O)(=O),245
22809,22809,cn3)N3CCNCC3),245
22810,22810,ccc34)cc2),245
22811,22811,cc3)c12,245
22812,22812,c4c3c2,245
22813,22813,c3ncc(C,245
22814,22814,c3nc4ccc(cc4,245
22815,22815,c3n3,245
22816,22816,c3CCCCC,245
22817,22817,c2ncc(nc12),245
22818,22818,c2nn3c(nnc3,245
22819,22819,c2cn(C)c3ccccc23),245
22820,22820,c2ccc3c(O),245
22821,22821,c2ccc(F)cc2F)cc1,245
22822,22822,c2ccc(C(N)=O),245
22823,22823,c2C(=O)c3ccccc3C(=O)c12),245
22824,22824,c1csc2c1,245
22825,22825,c1cccc2c(Cl)c[nH]c12,245
22826,22826,c1c[nH]c(,245
22827,22827,c1c(F)cc2,245
22828,22828,c1c(C)ncn,245
22829,22829,c(NS(C)(=O)=O)c1,245
22830,22830,c(=O)n(CC(F)(F)F),245
22831,22831,c(nn2),245
22832,22832,[C@]3(CO),245
22833,22833,[C@H](O)[C@H](CC1CCCCC1),245
22834,22834,[C@@]3(C)[C@@H](CC,245
22835,22835,[C@@H]4CCCC[C@@H]4N),245
22836,22836,[C@@H](N)Cc1ccc(O)cc1,245
22837,22837,[C@@H](C6=CC(=O)OC,245
22838,22838,S(C)(=O)=O)CC3),245
22839,22839,OCCCNC(=O),245
22840,22840,OC3(C)C),245
22841,22841,O=C(NCC1CC1),245
22842,22842,Oc1ccc2[nH]cc(,245
22843,22843,Nc2nc3ccccc3o2),245
22844,22844,NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](,245
22845,22845,NC(=O)C1(CC1),245
22846,22846,N2CCNCC2)n1,245
22847,22847,N(CC(=O)N(C)C),245
22848,22848,N#Cc1ccc(NC(=O),245
22849,22849,Nc1ccc(NC(=O),245
22850,22850,Cn1cc(nn1),245
22851,22851,Cc1ccc(cc1)S(=O)(=O)N1CC,245
22852,22852,Cc1ccc(-c2cs,245
22853,22853,Cc1c[nH]c2ccc(cc12)-,245
22854,22854,COc1ccc(/C=C/C(=O)N,245
22855,22855,COc1ccc(-c2nn(-c3ccccc3)cc2,245
22856,22856,COc1ccc(-c2[nH],245
22857,22857,CN1c2ccccc2C(=N[C@@H](NC(=O)N,245
22858,22858,CCc1ncnc(-c2cc(F)c(,245
22859,22859,CCOC(=O)N1CCC(=CC1)c1cccn2nc(Nc3ccc(cc3),245
22860,22860,CCC(C)C(,245
22861,22861,CC1(C)C(C(=O)c2cn(CC,245
22862,22862,CC(C)[C@@H](C),245
22863,22863,CC(Oc1cc(,245
22864,22864,C2COc3ccccc3O2),245
22865,22865,C(c3ccccc3)c3ccccc3)CC2),245
22866,22866,C(C)=C[C@@H](C(=O)O1)[C@]34,245
22867,22867,C(=O)Nc1ccc(C(F)(F)F)cc1,245
22868,22868,C(=O)N[C@@H](Cc1ccccc1)C(=O)N,245
22869,22869,=C(c2ccccc2),245
22870,22870,3)cc2C1,245
22871,22871,/C=C(O),245
22872,22872,no1)C(=O),244
22873,22873,n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O),244
22874,22874,n1ncc2c(,244
22875,22875,cn23)CC1,244
22876,22876,cnc2nc(N)nc(N)c12,244
22877,22877,ccc3Cl),244
22878,22878,cc(C(F)(F)F)c2),244
22879,22879,c4c3)ccc2C1,244
22880,22880,c3n2)cc(OC)c1OC,244
22881,22881,c3cccc4cccc2,244
22882,22882,c3ccc4ncs,244
22883,22883,c3cc(OC)ccc3OC),244
22884,22884,c2occc12,244
22885,22885,c2ccco2)n1,244
22886,22886,c2ccccc2OC)cc1,244
22887,22887,c2cc3c(cc2F),244
22888,22888,c2cc1-c1cn,244
22889,22889,c2c(Cl)cncc2Cl)cc1),244
22890,22890,c1cnc2c(cnn2c1)-c1ccnc2ccccc12,244
22891,22891,c1ccccc1)-c1ccccc1),244
22892,22892,c1ccccc1OCC(O),244
22893,22893,c1ccc(cc1)C(N)=N,244
22894,22894,c1ccc(Cl)cc1C,244
22895,22895,c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN,244
22896,22896,c1c(O)cc(cc1,244
22897,22897,c1c(N)ncnc1N1CCC(CC1)c1nc(cn1CC,244
22898,22898,c(N)nc(,244
22899,22899,[Si](C)(C)C(C)(C)C,244
22900,22900,[C@H]2CO1)C(=O),244
22901,22901,[C@H](CNc3cnccc3C(O)=O),244
22902,22902,[C@H](C)[C@H]2OC(=O)O[C@]12C,244
22903,22903,[C@@](F),244
22904,22904,[C@@H]34),244
22905,22905,[C@@H](Cl),244
22906,22906,SS1),244
22907,22907,Sc1nnc(-,244
22908,22908,OC1CCN(CC,244
22909,22909,O=C(NC1CCCCCC1),244
22910,22910,OCCCCC,244
22911,22911,Nc1ccccc1C,244
22912,22912,NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,244
22913,22913,NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O),244
22914,22914,NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(O)=O),244
22915,22915,NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,244
22916,22916,NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1),244
22917,22917,NC(=O)c1[nH],244
22918,22918,NC=N,244
22919,22919,N(C#N),244
22920,22920,Fc1ccc(cc1)-c1ncn(C,244
22921,22921,Fc1ccc(CNC(=O),244
22922,22922,Cn1cc2c(,244
22923,22923,Clc1cccc(N2CCN(CC,244
22924,22924,Clc1ccc(cc1)C(=O),244
22925,22925,Cc1nccn1-c1ccc(,244
22926,22926,Cc1ccccc1-n1c(,244
22927,22927,COc1ccc(OC)c(c1)-,244
22928,22928,COc1cc(/C=C2/,244
22929,22929,COCCNCCC(=O)Nc1sc2c(c1-c1n,244
22930,22930,COC(=O)c1ccc(N,244
22931,22931,COC(=O)[C@@]1(C),244
22932,22932,CN2CCN(C[C@H]2CO1)C(=O),244
22933,22933,CN(C2CCCCC2),244
22934,22934,CCc1c(C(=O)C(N)=O),244
22935,22935,CCOC(=O)C1(,244
22936,22936,CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)C1CCCC1,244
22937,22937,CCCc1cc(ccc1OCC,244
22938,22938,CC(=O)Nc1ccc(S(=O)(=O),244
22939,22939,CC(=O)N[C@@H]1[C@H](,244
22940,22940,CC(=O)N1CCC2(CC1),244
22941,22941,C2CCC(C2),244
22942,22942,C2)cc1C,244
22943,22943,C(F)(F)F)c(Cl)c1,244
22944,22944,C(C)=O)c2c1,244
22945,22945,C(=O)N[C@@H](C(C)C)C(O)=O,244
22946,22946,C(=O)N[C@@H](Cc3ccc(O)cc3),244
22947,22947,C(=O)C1(C)C,244
22948,22948,5O),244
22949,22949,/N=c1\s,244
22950,22950,(COC(=O)C(C)(C)C),244
22951,22951,sc3c2)cc1,243
22952,22952,o2)cc1),243
22953,22953,nnc1-c1ccco1,243
22954,22954,nc2Cl),243
22955,22955,n3)C2)cc1,243
22956,22956,n1c2ccccc2[nH]c1=O),243
22957,22957,ccc3n2),243
22958,22958,cc1C(=O)NCCC(=N)N,243
22959,22959,cc(S(=O)(=O)N,243
22960,22960,c7cc,243
22961,22961,c6c5,243
22962,22962,c5cccc(C),243
22963,22963,c4ccccc4)cc3F)c2s1,243
22964,22964,c4c(=O),243
22965,22965,c3ccccc3nc12,243
22966,22966,c3ccc(cc3[nH]2),243
22967,22967,c2ccccc2n1C,243
22968,22968,c2cc3[nH]c(,243
22969,22969,c2cc(Cl)ccc2Cl)cc1,243
22970,22970,c2c(nn(C),243
22971,22971,c2)c(OC)c1,243
22972,22972,c2c2cc(ccc12),243
22973,22973,c1ncccc1C(F)(F)F),243
22974,22974,c1nc(-c2cc,243
22975,22975,c1csc(N)n1),243
22976,22976,c1ccccc1)c1ccc(OCC,243
22977,22977,c1cccc(c1)-c1ncnc2[nH]ccc12,243
22978,22978,c1cccc(C(F)(F)F)c1Cl),243
22979,22979,c1cccc(S(=O)(=O)N,243
22980,22980,c1ccc2scnc2c1,243
22981,22981,c1ccc(C)nc1C,243
22982,22982,c1OC1,243
22983,22983,c1\C=C\,243
22984,22984,c(O)c2c1,162
22985,22985,[C@H]1CCOC1,243
22986,22986,[C@@](CO),243
22987,22987,[C@@H]2CCCN2),243
22988,22988,[C@@H]2O[C@H](CO),243
22989,22989,[C@@H](Cc2ccc(O)cc2),243
22990,22990,S(N)(=O)=O)cc2)c1,243
22991,22991,OCCOCCN1CCN(CC1),243
22992,22992,OCCN1CCN(,243
22993,22993,OCCN(CC,243
22994,22994,O=S(=O)(c1ccc(F)cc1),243
22995,22995,Nc1nn2cccn,243
22996,22996,NC(=O)C2CC2),243
22997,22997,N2CCCC2)CC1,243
22998,22998,N2C[C@@H]3CC,243
22999,22999,N1C[C@H]2CC,243
23000,23000,N(CCCl)CCCl,243
23001,23001,Fc1cc(ccc1Cl),243
23002,23002,Cn1cccn1,243
23003,23003,Cl)ccc2N(C)C(=O),243
23004,23004,Cc2cn(C),243
23005,23005,Cc2ccc(cc2C1),243
23006,23006,Cc1nn(C2CCCCC2),243
23007,23007,Cc1ccc(cc1)C(F)(F)F)C(O)=O,243
23008,23008,Cc1cc(C(=O)Nc2ccc(cc2),243
23009,23009,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,243
23010,23010,C[C@H](O)C(=O)N1CC[C@H](Oc2ccc(cc2C#N)-c2ncnc(Nc3ccc(cc3),243
23011,23011,CSc1nc(c([nH]1)-,243
23012,23012,CS(=O)(=O)Nc1ccc(cc1)-,243
23013,23013,CS(=O)(=O)C(C(=O)NCCS(N)(=O)=O),243
23014,23014,COc4ccccc4O3),243
23015,23015,COc1ccc2n(C),243
23016,23016,COc1ccc2nc(N,243
23017,23017,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2),243
23018,23018,COc1ccc(Cl)c(,243
23019,23019,COC(=O)[C@@H]32)OCO4),243
23020,23020,CN[C@H](C)CN1CC(=O),243
23021,23021,CNS(=O)(=O)c1ccc(-,243
23022,23022,CNC(=O)[C@@H](NC(=O),243
23023,23023,CN1[C@H](C),243
23024,23024,CN(C)CCn1cc(,243
23025,23025,CN(C)CCCN(C(=O),243
23026,23026,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C),243
23027,23027,CCN1c2nc(Cl)ccc2N(C)C(=O),243
23028,23028,CCN(C[C@H]1N,243
23029,23029,CCCCc2nnc(NC(=O)C,243
23030,23030,CC2C),243
23031,23031,CC(C)(C)c1cc(cc(c1O),243
23032,23032,CC(CC(=O),243
23033,23033,C(=O)N1[C@@H](CC[C@@H]1c1ccccc1Cl)C(O)=O,243
23034,23034,C(=O)N1CSC(C)(C)[C@H]1,243
23035,23035,C(=O)C=C)c2c1C)C(N)=O,243
23036,23036,C(=O)c1c-2,243
23037,23037,C#N)C(C)(C),243
23038,23038,=NCCN2),243
23039,23039,=C2c3ccc(Cl)cc3CC,243
23040,23040,=CC(,243
23041,23041,7)CC,243
23042,23042,-c2cnc(nc2),243
23043,23043,-c2ccc(cc2,243
23044,23044,-c1ccnc2[nH],243
23045,23045,nn3cccc23)n[nH]1,242
23046,23046,nccn2)c1,242
23047,23047,n1c2,242
23048,23048,n(-c4ccccc4)c3=O),242
23049,23049,nc2c(F),242
23050,23050,ccc(nc12)-c1n,242
23051,23051,c4ccc(C(C)(C)C)cc4),242
23052,23052,c3nc([nH],242
